scoring_window,n_specifications,median,minimum,maximum,iqr_lower,iqr_upper,pct_at_or_above_0_60,pct_below_0_40,specification_at_maximum,specification_at_minimum,kappa_of_specification_of_record,rank_of_specification_of_record,n_above_specification_of_record,n_tied_with_specification_of_record
full season (33 weeks),72,0.52957,0.11494,0.84058,0.42775,0.72384,36.1111,22.2222,"rate per 100, causal MA-3, 7-week baseline, 3.0 SD, consensus >=2","A-cluster positivity (%), raw, 5-week baseline, 2.0 SD, consensus >=2",0.835,2,1,2
early-warning window (19 weeks),72,0.67604,0.21488,0.89017,0.61615,0.77448,77.7778,8.3333,"A-cluster positivity (%), causal MA-3, 5-week baseline, 3.0 SD, consensus >=1","A-cluster positivity (%), raw, 5-week baseline, 2.0 SD, consensus >=2",0.89017,1,0,4
